TIME, VALUE
2023-01-15 18:15:07.181000,250413056
2023-01-15 18:16:07.183,250413056
2023-01-15 18:17:07.181,250413056
2023-01-15 18:18:07.181,250544128
2023-01-15 18:19:07.181,250544128
2023-01-15 18:20:07.181,250544128
2023-01-15 18:21:07.181,250609664
2023-01-15 18:22:07.181,250609664
2023-01-15 18:23:07.181,250609664
2023-01-15 18:24:07.181,250609664
2023-01-15 18:25:07.181,250609664
2023-01-15 18:26:07.181,250609664
2023-01-15 18:27:07.181,250609664
2023-01-15 18:28:07.181,250675200
2023-01-15 18:29:07.181,250675200
2023-01-15 18:30:07.181,250675200
2023-01-15 18:31:07.181,250675200
2023-01-15 18:32:07.181,250675200
2023-01-15 18:33:07.181,250675200
2023-01-15 18:34:07.181,250675200
2023-01-15 18:35:07.181,250675200
2023-01-15 18:36:07.181,250675200
2023-01-15 18:37:07.181,250675200
2023-01-15 18:38:07.181,250806272
2023-01-15 18:39:07.181,250806272
2023-01-15 18:40:07.181,250806272
2023-01-15 18:41:07.181,250806272
2023-01-15 18:42:07.181,250806272
2023-01-15 18:43:07.181,250806272
2023-01-15 18:44:07.181,250806272
2023-01-15 18:45:07.181,250806272
2023-01-15 18:46:07.181,250806272
2023-01-15 18:47:07.234,250806272
2023-01-15 18:48:07.181,251002880
2023-01-15 18:49:07.181,251002880
2023-01-15 18:50:07.181,251002880
2023-01-15 18:51:07.181,251002880
2023-01-15 18:52:07.181,251002880
2023-01-15 18:53:07.181,251002880
2023-01-15 18:54:07.181,251002880
2023-01-15 18:55:07.181,251002880
2023-01-15 18:56:07.181,251002880
2023-01-15 18:57:07.181,251002880
2023-01-15 18:58:07.181,255393792
2023-01-15 18:59:07.181,255393792
2023-01-15 19:00:07.181,255393792
2023-01-15 19:01:07.181,255393792
2023-01-15 19:02:07.181,255393792
2023-01-15 19:03:07.181,255393792
2023-01-15 19:04:07.181,255393792
2023-01-15 19:05:07.181,255393792
2023-01-15 19:06:07.181,255393792
2023-01-15 19:07:07.181,255393792
2023-01-15 19:08:07.181,255524864
2023-01-15 19:09:07.181,255524864
2023-01-15 19:10:07.181,255524864
2023-01-15 19:11:07.181,255524864
2023-01-15 19:12:07.181,255524864
2023-01-15 19:13:07.181,255524864
2023-01-15 19:14:07.181,255524864
2023-01-15 19:15:07.181,255524864
2023-01-15 19:16:07.181,255524864
2023-01-15 19:17:07.181,255524864
2023-01-15 19:18:07.181,255721472
2023-01-15 19:19:07.181,255721472
2023-01-15 19:20:07.181,255721472
2023-01-15 19:21:07.181,255721472
2023-01-15 19:22:07.181,255721472
2023-01-15 19:23:07.181,255721472
2023-01-15 19:24:07.181,255721472
2023-01-15 19:25:07.181,255721472
2023-01-15 19:26:07.181,255721472
2023-01-15 19:27:07.181,255721472
2023-01-15 19:28:07.181,255852544
2023-01-15 19:29:07.181,255852544
2023-01-15 19:30:07.181,255852544
2023-01-15 19:31:07.181,255918080
2023-01-15 19:32:07.181,255918080
2023-01-15 19:33:07.181,255918080
2023-01-15 19:34:07.181,255918080
2023-01-15 19:35:07.181,255918080
2023-01-15 19:36:07.181,255918080
2023-01-15 19:37:07.181,255918080
2023-01-15 19:38:07.181,256049152
2023-01-15 19:39:07.181,256049152
2023-01-15 19:40:07.181,256049152
2023-01-15 19:41:07.181,256049152
2023-01-15 19:42:07.181,256049152
2023-01-15 19:43:07.181,256049152
2023-01-15 19:44:07.181,256049152
2023-01-15 19:45:07.186,256049152
2023-01-15 19:46:07.181,256049152
2023-01-15 19:47:07.181,256049152
2023-01-15 19:48:07.181,256180224
2023-01-15 19:49:07.181,256180224
2023-01-15 19:50:07.181,256180224
2023-01-15 19:51:07.181,256180224
2023-01-15 19:52:07.181,256180224
2023-01-15 19:53:07.181,256180224
2023-01-15 19:54:07.181,256180224
2023-01-15 19:55:07.181,256180224
2023-01-15 19:56:07.181,256180224
2023-01-15 19:57:07.181,256180224
2023-01-15 19:58:07.181,256311296
2023-01-15 19:59:07.181,256311296
2023-01-15 20:00:07.181,256311296
2023-01-15 20:01:07.184,256376832
2023-01-15 20:02:07.181,256376832
2023-01-15 20:03:07.181,256376832
2023-01-15 20:04:07.181,256376832
2023-01-15 20:05:07.181,256376832
2023-01-15 20:06:07.181,256376832
2023-01-15 20:07:07.181,256376832
2023-01-15 20:08:07.181,256507904
2023-01-15 20:09:07.181,256507904
2023-01-15 20:10:07.181,256507904
2023-01-15 20:11:07.181,256507904
2023-01-15 20:12:07.181,256507904
2023-01-15 20:13:07.181,256507904
